Domain,IP,Server,Tag
twyd6y14.elizabethspizzadenton.com,188.114.97.3,cloudflare,ClearFake
ryr4q9kj.playantwatch.com,188.114.97.3,cloudflare,ClearFake
ryr4q9kj.playantwatch.com,188.114.97.3,cloudflare,ClearFake
1275079.behtarin-site-shartbandi.com,104.21.71.12,cloudflare,ClearFake
8995299.behtarin-site-shartbandi.com,172.67.168.250,cloudflare,ClearFake
01ejjpa2.behtarin-site-shartbandi.com,172.67.168.250,cloudflare,ClearFake
twyd6y14.elizabethspizzadenton.com,188.114.96.3,cloudflare,ClearFake
01ejjpa2.behtarin-site-shartbandi.com,172.67.168.250,cloudflare,ClearFake
t13ecldw.calculadoracomisiones.com,188.114.96.3,cloudflare,ClearFake
t13ecldw.calculadoracomisiones.com,188.114.96.3,cloudflare,ClearFake
t13ecldw.calculadoracomisiones.com,172.67.136.136,cloudflare,ClearFake
dnrlgtwo.frizzhairforecast.com,104.21.86.9,cloudflare,ClearFake
fby6y3nd.illuigiitaliancuisine.com,172.67.211.236,cloudflare,ClearFake
dnrlgtwo.frizzhairforecast.com,104.21.86.9,cloudflare,ClearFake
fby6y3nd.illuigiitaliancuisine.com,,,ClearFake
dnrlgtwo.frizzhairforecast.com,104.21.86.9,cloudflare,ClearFake
dnrlgtwo.frizzhairforecast.com,104.21.86.9,cloudflare,ClearFake
g1wgxqj5.nextbahis.one,188.114.97.3,cloudflare,ClearFake
fby6y3nd.illuigiitaliancuisine.com,104.21.77.221,cloudflare,ClearFake
fby6y3nd.illuigiitaliancuisine.com,172.67.211.236,cloudflare,ClearFake
g1wgxqj5.nextbahis.one,172.67.155.226,cloudflare,ClearFake
it-irrigation-control-network.garden,104.21.53.94,cloudflare,ClickFix WebDAV
8g7kgrp5.frisbeeburgerllc.com,104.21.89.77,cloudflare,ClearFake
8g7kgrp5.frisbeeburgerllc.com,172.67.156.247,cloudflare,ClearFake
ijm1e9p4.chrisbrownstlouis.com,172.67.204.122,cloudflare,ClearFake
9qdbp5gv.bet90forward.win,104.21.95.112,cloudflare,ClearFake
ijm1e9p4.chrisbrownstlouis.com,172.67.204.122,cloudflare,ClearFake
7eo6l6dj.bet90forward.win,104.21.95.112,cloudflare,ClearFake
wz43qign.houseofhakka.com,172.67.173.53,cloudflare,ClearFake
wxfwe0h3.chrisbrowndetroit.com,172.67.215.117,cloudflare,ClearFake
8g7kgrp5.frisbeeburgerllc.com,172.67.156.247,cloudflare,ClearFake
8g7kgrp5.frisbeeburgerllc.com,172.67.156.247,cloudflare,ClearFake
wz43qign.houseofhakka.com,104.21.30.156,cloudflare,ClearFake
wxfwe0h3.chrisbrowndetroit.com,172.67.215.117,cloudflare,ClearFake
wz43qign.houseofhakka.com,188.114.97.3,cloudflare,ClearFake
wxfwe0h3.chrisbrowndetroit.com,104.21.50.250,cloudflare,ClearFake
wz43qign.houseofhakka.com,188.114.97.3,cloudflare,ClearFake
wxfwe0h3.chrisbrowndetroit.com,172.67.215.117,cloudflare,ClearFake
37d389gt.botvn.net,172.67.153.237,cloudflare,ClearFake
xt19c0ua.casinomhub.bet,188.114.96.3,cloudflare,ClearFake
fsjkul62.onjabet1.com,104.21.72.200,cloudflare,ClearFake
w8sxay63.varzeshlife.ir,188.114.96.3,cloudflare,ClearFake
i0wrocb4.bet90forward.win,172.67.144.166,cloudflare,ClearFake
qnu58lbv.varzeshlife.ir,188.114.97.3,cloudflare,ClearFake
w8sxay63.varzeshlife.ir,172.67.175.186,cloudflare,ClearFake
h9fw1u0e.hanasushiorlando.com,188.114.97.3,cloudflare,ClearFake
fsjkul62.onjabet1.com,172.67.187.78,cloudflare,ClearFake
fsjkul62.onjabet1.com,104.21.72.200,cloudflare,ClearFake
2cca57zt.onjabet1.com,172.67.187.78,cloudflare,ClearFake
5ufm19dl.pdfbama.com,188.114.97.3,cloudflare,ClearFake
umq3dj7m.tampabayspin.com,188.114.96.3,cloudflare,ClearFake
fsjkul62.onjabet1.com,104.21.72.200,cloudflare,ClearFake
h9fw1u0e.hanasushiorlando.com,188.114.97.3,cloudflare,ClearFake
h9fw1u0e.hanasushiorlando.com,188.114.97.3,cloudflare,ClearFake
z15e6bey.nextbahis.poker,172.67.169.230,cloudflare,ClearFake
h9fw1u0e.hanasushiorlando.com,104.21.68.73,cloudflare,ClearFake
h89kbhtt.schleer.hu,188.114.96.3,cloudflare,ClearFake
z15e6bey.nextbahis.poker,172.67.169.230,cloudflare,ClearFake
z15e6bey.nextbahis.poker,172.67.169.230,cloudflare,ClearFake
uaycwz4b.nextbahis.blog,104.21.33.5,cloudflare,ClearFake
zawzq25p.grupoelede.com,104.21.19.191,cloudflare,ClearFake
wgp8mmcl.nextbahis.app,188.114.97.3,cloudflare,ClearFake
uaycwz4b.nextbahis.blog,188.114.97.3,cloudflare,ClearFake
zawzq25p.grupoelede.com,104.21.19.191,cloudflare,ClearFake
zawzq25p.grupoelede.com,172.67.188.145,cloudflare,ClearFake
wgp8mmcl.nextbahis.app,188.114.96.3,cloudflare,ClearFake
wgp8mmcl.nextbahis.app,188.114.96.3,cloudflare,ClearFake
wgp8mmcl.nextbahis.app,188.114.96.3,cloudflare,ClearFake
gardenworkflowhub.garden,188.114.96.3,cloudflare,ClickFix WebDAV
zawzq25p.grupoelede.com,104.21.19.191,cloudflare,ClearFake
p5ymbof6.drdavidzweiback.com,188.114.96.3,cloudflare,ClearFake
subterranean-mineral-map.garden,188.114.97.3,cloudflare,ClickFix WebDAV
spamgym.asia,172.67.197.145,cloudflare,ClickFix WebDAV
www.cxvd45f.christmas,N/A,cloudflare,New WebDAV
www.cxbd45f.christmas,N/A,cloudflare,New WebDAV
g5sy0m2g.calirayalake.com,172.67.221.164,cloudflare,ClearFake
sh6ze53a.bet90forward.win,104.21.95.112,cloudflare,ClearFake
4yl6u62i.pdfbama.com,172.67.190.163,cloudflare,ClearFake
g5sy0m2g.calirayalake.com,188.114.97.3,cloudflare,ClearFake
g5sy0m2g.calirayalake.com,188.114.96.3,cloudflare,ClearFake
4yl6u62i.pdfbama.com,188.114.97.3,cloudflare,ClearFake
m4jpiubh.royaldoorsspringdale.com,188.114.96.3,cloudflare,ClearFake
ht326ul6.hazaratbet.bet,104.21.63.178,cloudflare,ClearFake
4yl6u62i.pdfbama.com,188.114.97.3,cloudflare,ClearFake
m4jpiubh.royaldoorsspringdale.com,188.114.97.3,cloudflare,ClearFake
ht326ul6.hazaratbet.bet,172.67.171.150,cloudflare,ClearFake
ht326ul6.hazaratbet.bet,172.67.171.150,cloudflare,ClearFake
ht326ul6.hazaratbet.bet,172.67.171.150,cloudflare,ClearFake
olptz5o4.jadoou.beauty,104.21.66.137,cloudflare,ClearFake
ybntipf1.ramenizakaya-himeji.com,172.67.133.134,cloudflare,ClearFake
ru4xmcs2.onjabet1.com,104.21.72.200,cloudflare,ClearFake
2cca57zt.onjabet1.com,172.67.187.78,cloudflare,ClearFake
6ytetbzh.quickandcleanfetish.com,104.21.42.137,cloudflare,ClearFake
vftudd2r.gamehazarat.bet,172.67.190.179,cloudflare,ClearFake
ru4xmcs2.onjabet1.com,172.67.187.78,cloudflare,ClearFake
6ytetbzh.quickandcleanfetish.com,172.67.206.28,cloudflare,ClearFake
6ytetbzh.quickandcleanfetish.com,172.67.206.28,cloudflare,ClearFake
xt19c0ua.casinomhub.bet,188.114.96.3,cloudflare,ClearFake
frozen-lunatrix.digital,172.67.209.121,cloudflare,PHANTOMPULSE
vftudd2r.gamehazarat.bet,188.114.96.3,cloudflare,ClearFake
ru4xmcs2.onjabet1.com,172.67.187.78,cloudflare,ClearFake
ru4xmcs2.onjabet1.com,104.21.72.200,cloudflare,ClearFake
a2wk5fd0.purity-pharmaceuticals.net,172.67.200.156,cloudflare,ClearFake
vftudd2r.gamehazarat.bet,188.114.97.3,cloudflare,ClearFake
qhy0wolx.casinomhub.bet,188.114.96.3,cloudflare,ClearFake
No more data in database!,No more data in database!,No more data in database!,No more data in database!
